Year,Tm,HR,BB,SO,OPS,W-L%,ERA,H9,HR9,SO9,SO/W
2012,Chicago Cubs,137,447,1235,0.68,0.377,4.51,8.9,1.1,7.2,1.97
2012,Cincinnati Reds,172,481,1266,0.726,0.599,3.34,8.4,0.9,7.7,2.92
2012,Colorado Rockies,166,450,1213,0.766,0.395,5.22,10.4,1.3,7.2,2.02
2012,Houston Astros,146,463,1365,0.673,0.34,4.56,9.4,1.1,7.4,2.17
2012,Los Angeles Dodgers,116,481,1156,0.69,0.531,3.34,7.9,0.8,7.9,2.37
2012,Miami Marlins,137,484,1228,0.69,0.426,4.09,9,0.8,7,2.25
2012,Milwaukee Brewers,202,466,1240,0.762,0.512,4.22,9,1,8.7,2.67
2012,New York Mets,139,503,1250,0.701,0.457,4.09,8.6,1,7.8,2.54
2012,Philadelphia Phillies,158,454,1094,0.716,0.5,3.83,8.6,1.1,8.6,3.39
2012,Pittsburgh Pirates,170,444,1354,0.699,0.488,3.86,8.5,1,7.5,2.43
2012,San Diego Padres,121,539,1238,0.699,0.469,4.01,8.5,1,7.6,2.24
2012,San Francisco Giants,103,483,1097,0.724,0.58,3.68,8.4,0.9,7.7,2.53
2012,St. Louis Cardinals,159,533,1192,0.759,0.543,3.71,8.7,0.8,7.5,2.79
2012,Washington Nationals,194,479,1325,0.75,0.605,3.33,7.9,0.8,8.1,2.67
2012,Baltimore Orioles,214,480,1315,0.728,0.574,3.9,8.7,1.1,7.1,2.45
2012,Boston Red Sox,165,428,1197,0.73,0.426,4.7,9,1.2,7.3,2.22
2012,Chicago White Sox,211,461,1203,0.74,0.525,4.02,8.5,1.2,7.8,2.48
2012,Cleveland Indians,136,555,1087,0.705,0.42,4.78,9.4,1.1,6.8,2
2012,Detroit Tigers,163,511,1103,0.757,0.543,3.75,8.9,0.9,8.3,3.01
2012,Kansas City Royals,131,404,1032,0.716,0.444,4.3,9.3,1,7.3,2.17
2012,Los Angeles Angels of Anaheim,187,449,1113,0.764,0.549,4.02,8.4,1.2,7.3,2.4
2012,Minnesota Twins,131,505,1069,0.715,0.407,4.77,9.6,1.2,5.9,2.03
2012,New York Yankees,245,565,1176,0.79,0.586,3.84,8.7,1.2,8.2,3.06
2012,Oakland Athletics,195,550,1387,0.714,0.58,3.48,8.3,0.9,7,2.46
2012,Seattle Mariners,149,466,1259,0.665,0.463,3.76,8.4,1,7.2,2.6
2012,Tampa Bay Rays,175,571,1323,0.711,0.556,3.19,7.6,0.9,8.5,2.95
2012,Texas Rangers,200,478,1103,0.78,0.574,3.99,8.6,1.1,8,2.88
2012,Toronto Blue Jays,198,473,1251,0.716,0.451,4.64,9,1.3,7.1,1.99
2013,Arizona Diamondbacks,130,519,1142,0.715,0.5,3.92,8.8,1.1,7.3,2.51
2013,Atlanta Braves,181,542,1384,0.723,0.593,3.18,8.2,0.8,7.6,3.01
2013,Chicago Cubs,172,439,1230,0.693,0.407,4,8.3,1,7.4,2.19
2013,Cincinnati Reds,155,585,1245,0.718,0.556,3.38,7.9,1,7.9,2.98
2013,Colorado Rockies,159,427,1204,0.741,0.457,4.44,9.7,0.9,6.7,2.06
2013,Los Angeles Dodgers,138,476,1146,0.722,0.568,3.25,8.2,0.8,8,2.81
2013,Miami Marlins,95,432,1232,0.627,0.383,3.71,8.5,0.7,7.3,2.24
2013,Milwaukee Brewers,157,407,1183,0.708,0.457,3.84,8.7,1.1,7,2.41
2013,New York Mets,130,512,1384,0.672,0.457,3.77,8.8,0.9,7.4,2.64
2013,Philadelphia Phillies,140,417,1205,0.69,0.451,4.32,9.2,1,7.5,2.37
2013,Pittsburgh Pirates,161,469,1330,0.709,0.58,3.26,7.9,0.6,7.7,2.45
2013,San Diego Padres,146,467,1309,0.686,0.469,3.98,8.7,1,7.2,2.23
2013,San Francisco Giants,107,469,1078,0.702,0.469,4,8.6,0.9,7.8,2.41
2013,St. Louis Cardinals,125,481,1110,0.733,0.599,3.42,8.4,0.7,7.7,2.78
2013,Washington Nationals,161,464,1192,0.71,0.531,3.59,8.5,0.9,7.7,3.05
2013,Baltimore Orioles,212,416,1125,0.744,0.525,4.2,8.9,1.3,7.2,2.47
